animal,heifer,group,dam_age,c_interval,new_cd,dec
SIMUSAF000003164459,FALSE,333488_2020_S_FALSE,1515,346,33,2
SIMUSAF000002484085,FALSE,114824_2016_S_FALSE,2935,366,22,1
SIMUSAF000002377190,FALSE,246444_2015_S_FALSE,3332,737,5,1
SIMUSAF000002861679,TRUE,012356_2015_F_TRUE,703,NA,31,2
SIMUSAF000002188787,FALSE,235805_2009_S_FALSE,2559,NA,16,1
SIMUSAF000002609227,FALSE,028998_2020_F_FALSE,3664,353,19,1
SIMUSAF000002267926,FALSE,066206_2012_S_FALSE,2933,367,18,1
SIMUSAF000003117319,TRUE,007215_2018_S_TRUE,707,NA,21,1
SIMUSAF000003407303,FALSE,105247_2020_F_FALSE,1091,369,7,1
SIMUSAF000003078985,FALSE,002945_2018_S_FALSE,1102,384,15,1
AANUSAF000016431290,TRUE,028998_2010_F_TRUE,701,NA,39,2
SIMUSAF000002635965,FALSE,057067_2018_S_FALSE,2577,750,32,2
SIMUSAF000002605988,FALSE,089975_2017_S_FALSE,2173,354,18,1
SIMUSAF000002460135,FALSE,001751_2013_S_FALSE,1831,375,17,1
SIMUSAF000002251198,FALSE,047707_2014_F_FALSE,3779,397,31,2
SIMUSAF000002425172,FALSE,168789_2010_F_FALSE,1031,359,19,1
SIMUSAF000002351018,FALSE,009157_2009_S_FALSE,1111,NA,66,3
SIMUSAF000009524883,FALSE,240622_2013_S_FALSE,2198,365,13,1
SIMUSAF000003173194,FALSE,033944_2019_S_FALSE,1109,397,43,2
SIMUSAF000002024826,FALSE,218289_2009_S_FALSE,3721,NA,22,1
SIMUSAF000002355374,FALSE,208597_2014_S_FALSE,2984,410,53,2
SIMUSAF000002169688,FALSE,000508_2012_S_FALSE,3651,368,20,1
SIMUSAF000009852925,FALSE,193450_2015_S_FALSE,1109,406,30,1
SIMUSAF000002517384,TRUE,003773_2011_S_TRUE,695,NA,28,1
AANUSAF000017076907,FALSE,114824_2016_S_FALSE,1842,343,39,2
SIMUSAF000002781829,FALSE,008605_2016_S_FALSE,1477,367,21,1
SIMUSAF000002195235,FALSE,092820_2009_S_FALSE,2338,NA,28,1
SIMUSAF000003227909,FALSE,002467_2019_S_FALSE,1099,354,28,1
SIMUSAF000002379207,FALSE,007866_2011_F_FALSE,1822,378,24,1
SIMUSAF000002845301,FALSE,067563_2016_F_FALSE,1109,331,22,1
SIMUSAF000002962304,FALSE,000174_2019_S_FALSE,1470,343,13,1
SIMUSAF000002651562,TRUE,059044_2013_S_TRUE,798,NA,65,3
SIMUSAF000002895300,FALSE,057766_2017_S_FALSE,1098,387,7,1
SIMUSAF000002835530,TRUE,141843_2015_S_TRUE,758,NA,26,1
SIMUSAF000003072896,FALSE,218008_2020_S_FALSE,1800,325,0,1
SIMUSAF000009019443,FALSE,249078_2009_S_FALSE,3666,NA,39,2
SIMUSAF000002437366,FALSE,057726_2012_S_FALSE,1469,357,31,2
SIMUSAF000002311968,FALSE,137577_2010_S_FALSE,1919,392,51,2
SIMUSAF000009736930,TRUE,267219_2012_S_TRUE,691,NA,0,1
SIMUSAF000002947895,FALSE,230280_2017_S_FALSE,1094,385,15,1
SIMUSAF000002786818,FALSE,000100_2019_S_FALSE,2223,343,31,2
SIMUSAF000002712120,FALSE,087145_2014_S_FALSE,5146,357,15,1
SIMUSAF000002618612,FALSE,084768_2017_S_FALSE,2226,373,11,1
SIMUSAF000003039929,FALSE,255771_2018_S_FALSE,2211,354,19,1
AANUSAF000015773246,FALSE,003790_2010_S_FALSE,1100,354,21,1
SIMUSAF000002667588,FALSE,002467_2017_S_FALSE,1797,364,5,1
SIMUSAF000002442644,FALSE,006179_2018_S_FALSE,3699,410,56,2
SIMUSAF000002409452,FALSE,250969_2009_F_FALSE,1017,NA,0,1
SIMUSAF000009754950,FALSE,240626_2020_S_FALSE,3294,335,8,1
SIMUSAF000003209965,FALSE,230280_2017_S_FALSE,1450,NA,25,1
SIMUSAF000009069698,FALSE,223614_2010_S_FALSE,1461,346,17,1
SIMUSAF000003318362,TRUE,220135_2019_F_TRUE,762,NA,51,2
AANUSAF000017521988,FALSE,291624_2016_F_FALSE,1447,NA,0,1
SIMUSAF000003008039,FALSE,004220_2019_S_FALSE,1464,726,14,1
SIMUSAF000002305900,FALSE,007215_2011_S_FALSE,2187,367,11,1
SIMUSAF000009806181,FALSE,273446_2017_S_FALSE,2189,372,6,1
SIMUSAF000008913591,FALSE,240622_2009_S_FALSE,2213,NA,29,1
SIMUSAF000003202314,FALSE,004561_2019_S_FALSE,1087,340,75,3
SIMUSAF000009118919,FALSE,258111_2009_S_FALSE,1431,NA,16,1
SIMUSAF000002523607,TRUE,000357_2011_S_TRUE,725,NA,15,1
SIMUSAF000008900209,FALSE,071720_2011_S_FALSE,2926,359,7,1
SIMUSAF000002731113,TRUE,182673_2015_S_TRUE,707,NA,7,1
SIMUSAF000003176058,FALSE,000100_2019_S_FALSE,1120,382,17,1
SIMUSAF000002261311,FALSE,001855_2011_S_FALSE,2755,699,97,4
SIMUSAF000009776432,FALSE,001490_2019_S_FALSE,2917,365,18,1
SIMUSAF000002514780,FALSE,003969_2012_S_FALSE,1114,385,20,1
SIMUSAF000002891011,FALSE,114824_2017_S_FALSE,1099,385,18,1
SIMUSAF000002221195,FALSE,195888_2010_F_FALSE,2495,NA,0,1
SIMUSAF000001892424,FALSE,041080_2009_S_FALSE,4739,NA,24,1
SIMUSAF000003020508,TRUE,085948_2017_S_TRUE,777,NA,41,2
SIMUSAF000002624097,FALSE,170588_2019_S_FALSE,3013,396,58,2
SIMUSAF000003075857,FALSE,066837_2020_S_FALSE,1867,386,61,3
SIMUSAF000002561977,FALSE,035315_2020_S_FALSE,3626,465,0,1
SIMUSAF000002600638,FALSE,054311_2020_S_FALSE,3280,375,10,1
SIMUSAF000002857201,FALSE,033084_2016_F_FALSE,1063,350,0,1
SIMUSAF000003088042,FALSE,007263_2019_S_FALSE,1153,385,46,2
SIMUSAF000002654613,FALSE,279293_2015_S_FALSE,1104,NA,59,2
SIMUSAF000003439275,TRUE,002003_2019_S_TRUE,753,NA,0,1
SIMUSAF000003065029,FALSE,186299_2019_S_FALSE,1533,400,39,2
SIMUSAF000002609051,FALSE,207114_2017_S_FALSE,2212,325,81,3
AANUSAF000015276875,FALSE,028619_2016_S_FALSE,3707,405,11,1
